roll,name,email,enrolled,exam1,exam2,exam3,exam4
1,Abc,abc1@gmail.com,2026-03-12,61,58,47,43
2,Aaa,aaa2@gmail.com,2026-06-01,84,34,33,41
3,Def,def3@gmail.com,2026-05-10,33,55,99,83
4,Def,def4@yahoo.com,2026-05-31,65,30,50,84
5,Xyz,xyz5@yahoo.com,2026-02-09,57,73,43,41
6,Pqr,pqr6@gmail.com,2026-04-02,74,63,35,88
7,Aaa,aaa7@gmail.com,2026-04-07,40,100,67,76
8,Aaa,aaa8@gmail.com,2026-06-30,38,35,59,67
9,Abc,abc9@gmail.com,2026-01-26,78,65,88,76
10,Def,def10@yahoo.com,2026-04-01,56,,39,51
11,Aaa,aaa11@outlook.com,2026-03-04,50,89,78,64
12,Aaa,aaa12@gmail.com,2026-06-25,71,37,59,34
13,Xyz,xyz13@yahoo.com,2026-03-10,38,57,70,57
14,Pqr,pqr14@yahoo.com,2026-06-14,88,48,63,47
15,Def,def15@outlook.com,2026-05-24,98,63,84,81
16,Xyz,xyz16@gmail.com,2026-02-05,95,93,41,36
17,Abc,abc17@gmail.com,2026-06-10,50,84,38,79
18,Pqr,pqr18@outlook.com,2026-04-30,97,62,100,31
19,Abc,abc19@outlook.com,2026-05-18,64,73,44,67
20,Pqr,wrongemail,2026-04-27,30,63,94,52
21,Aaa,aaa21@gmail.com,2026-06-10,68,94,55,49
22,Xyz,xyz22@gmail.com,2026-05-19,97,30,71,92
23,Abc,abc23@gmail.com,2026-04-03,69,60,37,60
24,Aaa,aaa24@gmail.com,2026-01-22,92,38,98,46
25,Def,def25@outlook.com,2026-05-02,100,51,63,97
26,Aaa,aaa26@yahoo.com,2026-02-24,99,55,69,81
27,Xyz,xyz27@yahoo.com,2026-05-13,87,45,61,58
28,Abc,abc28@yahoo.com,2026-01-06,100,59,58,30
29,Abc,abc29@outlook.com,2026-06-11,37,59,38,34
30,XYZ,xyz30@gmail.com,2026-05-12,60,65,92,57
31,Aaa,aaa31@gmail.com,2026-05-27,90,61,90,82
32,Def,def32@gmail.com,2026-01-25,85,75,84,82
33,Pqr,pqr33@outlook.com,2026-01-14,42,37,81,73
34,Abc,abc34@gmail.com,2026-02-19,54,98,87,47
35,Pqr,pqr35@gmail.com,2026-03-13,89,61,39,86
36,Aaa,aaa36@gmail.com,2026-01-13,99,31,41,60
37,Def,def37@yahoo.com,2026-05-05,91,57,81,37
38,Def,def38@yahoo.com,2026-01-01,79,63,88,66
39,Pqr,pqr39@outlook.com,2026-05-23,92,49,54,67
40,Def,def40@gmail.com,2026-05-29,99,37,70,37
41,Abc,abc41@outlook.com,2026-05-03,94,97,50,37
42,Aaa,aaa42@gmail.com,2026-02-17,38,38,60,81
43,Abc,abc43@outlook.com,2026-03-05,35,40,83,96
44,Xyz,xyz44@yahoo.com,2026-02-22,70,60,63,80
45,Def,def45@outlook.com,2026-06-15,68,88,70,39
46,Abc,abc46@yahoo.com,2026-06-09,42,39,98,57
47,Aaa,aaa47@yahoo.com,2026-02-03,74,38,61,77
48,Xyz,xyz48@gmail.com,2026-04-23,99,68,97,31
49,Aaa,aaa49@yahoo.com,2026-06-19,43,47,63,44
50,Abc,abc50@outlook.com,2026-05-22,49,64,,56
51,Xyz,xyz51@gmail.com,2026-06-25,63,94,92,62
52,Abc,abc52@gmail.com,2026-06-12,84,65,35,30
53,Xyz,xyz53@gmail.com,2026-06-13,63,50,86,100
54,Pqr,pqr54@outlook.com,2026-01-03,44,39,49,99
55,Abc,abc55@yahoo.com,2026-05-30,100,48,85,46
56,Abc,abc56@yahoo.com,2026-04-04,35,75,56,61
57,Abc,abc57@yahoo.com,2026-05-24,82,49,60,50
58,Def,def58@yahoo.com,2026-01-07,52,72,82,61
59,Xyz,xyz59@gmail.com,2026-06-29,43,78,34,90
60,Def,def60@gmail.com,2026-04-28,74,69,59,58
61,Abc,abc61@outlook.com,2026-02-19,81,72,65,38
62,Xyz,xyz62@yahoo.com,2026-06-14,95,81,98,72
63,Abc,abc63@gmail.com,2026-03-08,52,63,34,43
64,Aaa,aaa64@yahoo.com,2026-03-30,70,85,95,44
65,Pqr,pqr65@outlook.com,2026-02-18,62,35,85,30
66,Aaa,aaa66@outlook.com,2026-06-25,55,76,85,38
67,Xyz,xyz67@outlook.com,2026-03-22,45,68,94,69
68,Pqr,pqr68@yahoo.com,2026-04-14,67,100,46,54
69,Pqr,pqr69@outlook.com,2026-04-08,52,68,81,100
70,Abc,abc70@yahoo.com,2026-03-15,56,85,71,89
71,Pqr,pqr71@yahoo.com,2026-06-22,57,95,90,51
72,Abc,abc72@yahoo.com,2026-05-12,72,41,60,69
73,Def,def73@gmail.com,2026-02-07,33,35,61,90
74,Aaa,aaa74@gmail.com,2026-04-27,83,54,79,93
75,Pqr,pqr75@gmail.com,2026-02-07,30,43,84,58
76,Def,def76@outlook.com,2026-05-13,89,36,61,45
77,Pqr,pqr77@gmail.com,2026-04-29,97,70,86,94
78,Pqr,pqr78@outlook.com,2026-04-25,50,90,87,63
79,Def,def79@outlook.com,2026-03-12,96,92,60,65
80,Pqr,pqr80@gmail.com,2026-03-15,60,64,72,70
81,Aaa,aaa81@gmail.com,2026-02-05,49,59,79,49
82,Def,def82@gmail.com,2026-04-17,82,72,99,89
83,Pqr,pqr83@gmail.com,2026-02-22,83,79,32,78
84,Pqr,pqr84@gmail.com,2026-04-01,68,79,83,98
85,Aaa,aaa85@outlook.com,2026-02-26,92,58,64,85
86,Pqr,pqr86@gmail.com,2026-04-10,73,81,51,89
87,Def,def87@outlook.com,2026-05-17,33,80,33,40
88,Pqr,pqr88@gmail.com,2026-04-29,53,36,63,78
89,Xyz,xyz89@gmail.com,2026-04-27,71,73,78,65
90,Pqr,pqr90@yahoo.com,2026-01-21,90,32,99,36
91,Xyz,xyz91@gmail.com,2026-06-16,38,35,33,61
92,Def,def92@gmail.com,2026-06-09,49,60,46,90
93,Abc,abc93@outlook.com,2026-02-25,89,62,77,51
94,Aaa,aaa94@outlook.com,2026-01-30,50,69,43,33
95,Xyz,xyz95@outlook.com,2026-06-23,78,80,55,39
96,Aaa,aaa96@outlook.com,2026-06-10,61,43,68,45
